variable,base_mae,causal_mae,masked_mae,causal_improvement_pct,masked_improvement_pct
Industrial Production,0.006779700970270437,0.006681243229550174,0.006875828346094921,1.452243117388348,-1.417870437737739
Nonfarm Payrolls,0.0021158279126923213,0.0021405325778142844,0.002152430813969539,-1.1676122133452354,-1.729956441998231
Unemployment Rate,0.22961455589261373,0.22773520676023776,0.2253048514349112,0.8184799631147552,1.876929988584045
Housing Starts,0.06896776040821004,0.07013080527126551,0.06499555315250723,-1.6863602010150607,5.7595131873094045
CPI,0.0017387510130235189,0.0017894050555618702,0.0018019636888855104,-2.913243020935406,-3.6355220148554155
PPI All Commodities,0.008074221896026891,0.008111105006576592,0.00814269019329156,-0.45680080414745894,-0.8479863217328657
Fed Funds Rate,0.12647118580685018,0.11763820432708595,0.14628361087847416,6.98418491406744,-15.665564409178536
10yr Treasury,0.1474169563779695,0.14413037756710162,0.15332183421707682,2.2294442183715053,-4.005562171537113
1yr Treasury,0.11851608894079332,0.10910034734202233,0.14003929022075048,7.944694836727852,-18.160573363764502
M2 Money Supply,0.0029037095242999875,0.0028890885109111807,0.0029303475916922775,0.503528788484157,-0.9173805840207695
Consumer Credit,0.0026806059150352164,0.00269802319063998,0.0029109304526603857,-0.6497514426522716,-8.592256561596948
Business Loans,0.007048532458715461,0.006923553513558883,0.007064810912686624,1.7731200911480918,-0.230948130926663
