scenario,model,mse,rmse,mae
4var,Baseline,0.2902364730834961,0.5387359957191427,0.42859184741973877
4var,Causal PCMCI (lam=0.001),0.2894488275051117,0.5380044865102072,0.42800450325012207
4var,Causal True (lam=0.001),0.2894271910190582,0.5379843780436921,0.42799341678619385
4var,Causal Random,0.2904466986656189,0.5389310704214584,0.4287291169166565
4var,Masked PCMCI,0.2880893349647522,0.5367395410855736,0.42675814032554626
4var,Masked True,0.2800087034702301,0.5291584861553579,0.42186835408210754
4var,Masked Random,0.4501418471336365,0.6709261115306487,0.538454532623291
8var,Baseline,5.777077674865723,2.403555215688985,1.8152804374694824
8var,Causal PCMCI (lam=0.001),5.825260639190674,2.413557672646476,1.824100375175476
8var,Causal True (lam=0.001),5.862592697143555,2.4212791448206783,1.8318350315093994
8var,Causal Random,5.93338680267334,2.4358544296967626,1.844550609588623
8var,Masked PCMCI,5.725172996520996,2.3927333734708087,1.8512203693389893
8var,Masked True,6.329546928405762,2.515859083574786,1.9287314414978027
8var,Masked Random,4.691280841827393,2.165936481484947,1.6707006692886353
threshold,Baseline,0.2818205952644348,0.5308677756884804,0.420582115650177
threshold,Causal PCMCI (lam=0.01),0.2819726765155792,0.5310109947219354,0.4205207824707031
threshold,Causal True (lam=0.001),0.28173303604125977,0.5307853012671505,0.4205169677734375
threshold,Causal Random,0.2909848093986511,0.5394300783221595,0.427458792924881
threshold,Masked PCMCI,0.2832620143890381,0.532223650723113,0.42165249586105347
threshold,Masked True,0.2710754871368408,0.520649101734403,0.41494253277778625
threshold,Masked Random,0.4299154579639435,0.6556793865632375,0.5194711685180664
